Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"617.785.477,67","617.785.477,67","617.785.477,67"
2025-10,"646.909.901,38","646.909.901,38","646.909.901,38"
2025-11,"869.808.610,39","869.808.610,39","869.808.610,39"
2025-12,"939.285.321,06","939.285.321,06","939.285.321,06"
2026-01,"932.528.424,01","932.528.424,01","932.528.424,01"
2026-02,"939.267.616,62","939.267.616,62","939.267.616,62"
2026-03,"804.218.148,28","804.218.148,28","804.218.148,28"
2026-04,"839.503.332,77","839.503.332,77","839.503.332,77"
2026-05,"939.763.737,68","939.763.737,68","939.763.737,68"
2026-06,"933.902.972,93","933.902.972,93","933.902.972,93"
2026-07,"627.790.122,82","627.790.122,82","627.790.122,82"
2026-08,"815.834.120,63","815.834.120,63","815.834.120,63"
