Mês,Real,Previsto,Erro,Erro %
2024-09,"575.620.539,90","692.151.499,03","-116.530.959,13","-20,24"
2024-10,"615.357.557,00","696.182.026,80","-80.824.469,80","-13,13"
2024-11,"783.437.477,00","700.441.833,66","82.995.643,34","10,59"
2024-12,"880.045.964,20","700.727.054,26","179.318.909,94","20,38"
2025-01,"802.502.563,50","700.446.253,50","102.056.310,00","12,72"
2025-02,"1.059.037.087,00","700.476.769,19","358.560.317,81","33,86"
2025-03,"701.027.431,70","699.488.747,34","1.538.684,36","0,22"
2025-04,"714.758.540,50","700.076.879,65","14.681.660,85","2,05"
2025-05,"909.532.434,70","700.404.617,68","209.127.817,02","22,99"
2025-06,"925.700.890,40","699.174.562,69","226.526.327,71","24,47"
2025-07,"573.134.480,60","695.994.465,80","-122.859.985,20","-21,44"
2025-08,"751.936.534,50","700.491.885,97","51.444.648,53","6,84"
