Mês,Real,Previsto,Erro,Erro %
2024-09,"867.642.004,10","34.397.474,93","833.244.529,17","96,04"
2024-10,"778.448.971,00","33.065.165,49","745.383.805,51","95,75"
2024-11,"892.149.179,60","33.065.165,49","859.084.014,11","96,29"
2024-12,"911.905.571,70","33.065.165,49","878.840.406,21","96,37"
2025-01,"947.289.230,50","33.065.165,49","914.224.065,01","96,51"
2025-02,"774.717.477,90","33.065.165,49","741.652.312,41","95,73"
2025-03,"832.939.616,00","33.065.165,49","799.874.450,51","96,03"
2025-04,"818.186.783,60","33.065.165,49","785.121.618,11","95,96"
2025-05,"805.464.750,50","33.065.165,49","772.399.585,01","95,89"
2025-06,"874.235.976,20","33.065.165,49","841.170.810,71","96,22"
2025-07,"845.365.713,40","33.065.165,49","812.300.547,91","96,09"
2025-08,"1.068.318.212,00","33.065.165,49","1.035.253.046,51","96,90"
