Mês,Real,Previsto,Erro,Erro %
2024-09,"867.642.004,10","25.416.903,16","842.225.100,94","97,07"
2024-10,"778.448.971,00","25.408.052,56","753.040.918,44","96,74"
2024-11,"892.149.179,60","25.398.814,26","866.750.365,34","97,15"
2024-12,"911.905.571,70","25.396.177,92","886.509.393,78","97,22"
2025-01,"947.289.230,50","25.390.761,22","921.898.469,28","97,32"
2025-02,"774.717.477,90","25.375.120,36","749.342.357,54","96,72"
2025-03,"832.939.616,00","25.363.688,79","807.575.927,21","96,95"
2025-04,"818.186.783,60","25.353.209,86","792.833.573,74","96,90"
2025-05,"805.464.750,50","25.339.363,49","780.125.387,01","96,85"
2025-06,"874.235.976,20","25.324.564,49","848.911.411,71","97,10"
2025-07,"845.365.713,40","25.311.515,67","820.054.197,73","97,01"
2025-08,"1.068.318.212,00","25.296.650,21","1.043.021.561,79","97,63"
