Mês,Real,Previsto,Erro,Erro %
2024-09,"5.252.344,86","89.019.863,09","-83.767.518,23","-1.594,86"
2024-10,"4.558.085,20","89.260.355,94","-84.702.270,74","-1.858,29"
2024-11,"5.641.484,75","89.596.730,48","-83.955.245,73","-1.488,18"
2024-12,"7.470.229,62","89.759.177,58","-82.288.947,96","-1.101,56"
2025-01,"3.764.899,12","89.318.300,55","-85.553.401,43","-2.272,40"
2025-02,"5.135.334,14","89.311.956,64","-84.176.622,50","-1.639,17"
2025-03,"5.086.973,85","89.393.219,97","-84.306.246,12","-1.657,30"
2025-04,"4.864.722,68","89.440.407,32","-84.575.684,64","-1.738,55"
2025-05,"6.014.520,13","89.480.377,92","-83.465.857,79","-1.387,74"
2025-06,"4.889.312,69","89.538.961,37","-84.649.648,68","-1.731,32"
2025-07,"6.876.446,01","89.581.487,32","-82.705.041,31","-1.202,73"
2025-08,"7.041.786,27","89.614.540,69","-82.572.754,42","-1.172,61"
