Mês,Real,Previsto,Erro,Erro %
2024-09,"60.584.944,33","4.745.852,29","55.839.092,04","92,17"
2024-10,"57.632.398,74","2.794.524,82","54.837.873,92","95,15"
2024-11,"36.335.470,02","2.189.728,46","34.145.741,56","93,97"
2024-12,"42.376.437,42","2.199.215,77","40.177.221,65","94,81"
2025-01,"80.512.989,73","2.138.783,04","78.374.206,69","97,34"
2025-02,"75.029.196,03","2.075.171,01","72.954.025,02","97,23"
2025-03,"76.964.031,02","2.042.200,61","74.921.830,41","97,35"
2025-04,"76.799.032,67","1.988.981,13","74.810.051,54","97,41"
2025-05,"74.346.694,75","1.883.704,51","72.462.990,24","97,47"
2025-06,"72.164.509,40","1.825.145,17","70.339.364,23","97,47"
2025-07,"72.939.657,76","1.786.974,39","71.152.683,37","97,55"
2025-08,"53.057.555,24","1.748.047,42","51.309.507,82","96,71"
