Mês,Real,Previsto,Erro,Erro %
2024-09,"1.998.008.740,00","2.027.269.407,82","-29.260.667,82","-1,46"
2024-10,"1.971.355.173,00","2.113.445.510,04","-142.090.337,04","-7,21"
2024-11,"2.234.647.387,00","2.219.302.348,42","15.345.038,58","0,69"
2024-12,"2.563.194.607,00","2.389.828.125,05","173.366.481,95","6,76"
2025-01,"2.489.657.869,00","2.254.577.748,45","235.080.120,55","9,44"
2025-02,"2.535.951.757,00","2.341.208.355,44","194.743.401,56","7,68"
2025-03,"2.170.040.814,00","2.131.031.237,00","39.009.577,00","1,80"
2025-04,"2.182.112.520,00","2.190.404.279,81","-8.291.759,81","-0,38"
2025-05,"2.397.929.085,00","2.239.534.597,71","158.394.487,29","6,61"
2025-06,"2.465.512.930,00","2.279.145.682,59","186.367.247,41","7,56"
2025-07,"2.123.320.588,00","2.162.813.187,90","-39.492.599,90","-1,86"
2025-08,"2.515.061.059,00","2.239.676.534,75","275.384.524,25","10,95"
