Mês,Real,Previsto,Erro,Erro %
2024-09,"1.998.008.740,00","2.078.353.052,03","-80.344.312,03","-4,02"
2024-10,"1.971.355.173,00","2.179.683.317,62","-208.328.144,62","-10,57"
2024-11,"2.234.647.387,00","2.283.214.754,79","-48.567.367,79","-2,17"
2024-12,"2.563.194.607,00","2.502.966.342,80","60.228.264,20","2,35"
2025-01,"2.489.657.869,00","2.351.117.955,75","138.539.913,25","5,56"
2025-02,"2.535.951.757,00","2.407.030.478,43","128.921.278,57","5,08"
2025-03,"2.170.040.814,00","2.196.030.599,30","-25.989.785,30","-1,20"
2025-04,"2.182.112.520,00","2.274.913.247,34","-92.800.727,34","-4,25"
2025-05,"2.397.929.085,00","2.384.043.220,10","13.885.864,90","0,58"
2025-06,"2.465.512.930,00","2.363.955.225,52","101.557.704,48","4,12"
2025-07,"2.123.320.588,00","2.264.605.307,71","-141.284.719,71","-6,65"
2025-08,"2.515.061.059,00","2.356.172.669,80","158.888.389,20","6,32"
