Mês,Real,Previsto,Erro,Erro %
2024-09,"1.445.737.227,00","1.510.878.836,38","-65.141.609,38","-4,51"
2024-10,"1.435.636.660,00","1.624.347.210,26","-188.710.550,26","-13,14"
2024-11,"1.652.312.719,00","1.671.047.025,16","-18.734.306,16","-1,13"
2024-12,"1.878.052.266,00","1.770.735.728,10","107.316.537,90","5,71"
2025-01,"1.824.992.429,00","1.673.413.902,62","151.578.526,38","8,31"
2025-02,"1.907.155.214,00","1.766.683.491,32","140.471.722,68","7,37"
2025-03,"1.580.551.813,00","1.627.815.612,47","-47.263.799,47","-2,99"
2025-04,"1.589.224.107,00","1.691.359.855,33","-102.135.748,33","-6,43"
2025-05,"1.777.394.982,00","1.706.614.735,86","70.780.246,14","3,98"
2025-06,"1.813.054.346,00","1.762.329.788,48","50.724.557,52","2,80"
2025-07,"1.557.183.183,00","1.670.446.000,22","-113.262.817,22","-7,27"
2025-08,"1.837.429.084,00","1.740.003.959,66","97.425.124,34","5,30"
