Mês,Real,Previsto,Erro,Erro %
2024-09,"1.445.737.227,00","1.504.659.956,94","-58.922.729,94","-4,08"
2024-10,"1.435.636.660,00","1.526.561.083,55","-90.924.423,55","-6,33"
2024-11,"1.652.312.719,00","1.550.892.946,54","101.419.772,46","6,14"
2024-12,"1.878.052.266,00","1.555.041.590,32","323.010.675,68","17,20"
2025-01,"1.824.992.429,00","1.541.345.009,94","283.647.419,06","15,54"
2025-02,"1.907.155.214,00","1.545.391.127,24","361.764.086,76","18,97"
2025-03,"1.580.551.813,00","1.504.410.798,40","76.141.014,60","4,82"
2025-04,"1.589.224.107,00","1.520.368.832,33","68.855.274,67","4,33"
2025-05,"1.777.394.982,00","1.526.992.463,06","250.402.518,94","14,09"
2025-06,"1.813.054.346,00","1.525.401.689,95","287.652.656,05","15,87"
2025-07,"1.557.183.183,00","1.499.949.320,21","57.233.862,79","3,68"
2025-08,"1.837.429.084,00","1.507.255.735,95","330.173.348,05","17,97"
