Mês,Real,Previsto,Erro,Erro %
2024-09,"845.250.875,50","888.215.873,97","-42.964.998,47","-5,08"
2024-10,"901.471.680,20","947.189.325,66","-45.717.645,46","-5,07"
2024-11,"1.152.943.055,00","1.159.796.999,82","-6.853.944,82","-0,59"
2024-12,"1.294.295.406,00","1.246.515.766,41","47.779.639,59","3,69"
2025-01,"1.174.185.973,00","1.236.882.963,26","-62.696.990,26","-5,34"
2025-02,"1.576.092.471,00","1.602.965.843,19","-26.873.372,19","-1,71"
2025-03,"1.037.834.327,00","1.072.359.915,30","-34.525.588,30","-3,33"
2025-04,"1.054.553.569,00","1.138.903.023,72","-84.349.454,72","-8,00"
2025-05,"1.345.291.801,00","1.279.810.517,48","65.481.283,52","4,87"
2025-06,"1.382.024.186,00","1.309.032.558,47","72.991.627,53","5,28"
2025-07,"848.247.005,20","959.733.761,15","-111.486.755,95","-13,14"
2025-08,"1.119.245.672,00","1.155.978.721,48","-36.733.049,48","-3,28"
