Mês,Real,Previsto,Erro,Erro %
2024-09,"2.321.127.508,00","2.215.675.314,07","105.452.193,93","4,54"
2024-10,"2.294.997.506,00","2.210.907.713,95","84.089.792,05","3,66"
2024-11,"2.278.118.919,00","2.317.833.662,52","-39.714.743,52","-1,74"
2024-12,"2.330.125.914,00","2.344.434.783,08","-14.308.869,08","-0,61"
2025-01,"2.577.206.946,00","2.369.198.833,39","208.008.112,61","8,07"
2025-02,"1.999.040.831,00","2.113.962.164,10","-114.921.333,10","-5,75"
2025-03,"2.065.837.378,00","2.153.660.847,41","-87.823.469,41","-4,25"
2025-04,"2.230.912.823,00","2.276.250.751,39","-45.337.928,39","-2,03"
2025-05,"2.130.531.197,00","2.200.155.079,31","-69.623.882,31","-3,27"
2025-06,"2.283.172.492,00","2.278.223.753,63","4.948.738,37","0,22"
2025-07,"2.168.861.158,00","2.303.783.214,12","-134.922.056,12","-6,22"
2025-08,"2.205.671.826,00","2.351.593.014,34","-145.921.188,34","-6,62"
