Mês,Real,Previsto,Erro,Erro %
2024-09,"2.321.127.508,00","2.111.836.461,04","209.291.046,96","9,02"
2024-10,"2.294.997.506,00","2.100.629.336,36","194.368.169,64","8,47"
2024-11,"2.278.118.919,00","2.088.156.061,42","189.962.857,58","8,34"
2024-12,"2.330.125.914,00","2.097.743.658,02","232.382.255,98","9,97"
2025-01,"2.577.206.946,00","2.101.102.950,77","476.103.995,23","18,47"
2025-02,"1.999.040.831,00","2.108.722.769,87","-109.681.938,87","-5,49"
2025-03,"2.065.837.378,00","2.110.465.459,33","-44.628.081,33","-2,16"
2025-04,"2.230.912.823,00","2.064.467.528,49","166.445.294,51","7,46"
2025-05,"2.130.531.197,00","2.044.675.166,16","85.856.030,84","4,03"
2025-06,"2.283.172.492,00","2.036.008.675,66","247.163.816,34","10,83"
2025-07,"2.168.861.158,00","2.025.115.344,06","143.745.813,94","6,63"
2025-08,"2.205.671.826,00","2.015.026.327,59","190.645.498,41","8,64"
