Mês,Real,Previsto,Erro,Erro %
2024-09,"95.639.549,33","61.838.250,88","33.801.298,45","35,34"
2024-10,"101.622.416,30","58.333.580,48","43.288.835,82","42,60"
2024-11,"84.087.890,37","53.603.839,45","30.484.050,92","36,25"
2024-12,"55.962.780,50","51.501.870,75","4.460.909,75","7,97"
2025-01,"227.428.319,40","220.087.985,83","7.340.333,57","3,23"
2025-02,"552.113.663,30","501.820.946,19","50.292.717,11","9,11"
2025-03,"187.306.605,30","165.202.166,80","22.104.438,50","11,80"
2025-04,"159.568.711,10","145.263.430,48","14.305.280,62","8,96"
2025-05,"144.097.652,60","129.527.498,80","14.570.153,80","10,11"
2025-06,"127.886.356,80","107.805.252,56","20.081.104,24","15,70"
2025-07,"127.024.491,70","110.728.349,19","16.296.142,51","12,83"
2025-08,"109.712.696,30","97.796.386,18","11.916.310,12","10,86"
