Mês,Real,Previsto,Erro,Erro %
2024-09,"95.639.549,33","30.822.110,20","64.817.439,13","67,77"
2024-10,"101.622.416,30","27.656.564,52","73.965.851,78","72,78"
2024-11,"84.087.890,37","30.501.446,28","53.586.444,09","63,73"
2024-12,"55.962.780,50","63.805.043,81","-7.842.263,31","-14,01"
2025-01,"227.428.319,40","126.088.530,57","101.339.788,83","44,56"
2025-02,"552.113.663,30","606.979.831,09","-54.866.167,79","-9,94"
2025-03,"187.306.605,30","177.208.152,46","10.098.452,84","5,39"
2025-04,"159.568.711,10","46.602.098,33","112.966.612,77","70,79"
2025-05,"144.097.652,60","45.178.242,75","98.919.409,85","68,65"
2025-06,"127.886.356,80","37.082.421,97","90.803.934,83","71,00"
2025-07,"127.024.491,70","34.966.893,43","92.057.598,27","72,47"
2025-08,"109.712.696,30","34.547.605,15","75.165.091,15","68,51"
