Mês,Real,Previsto,Erro,Erro %
2024-09,"233.608.398,40","233.580.536,96","27.861,44","0,01"
2024-10,"232.319.995,30","244.251.028,42","-11.931.033,12","-5,14"
2024-11,"272.404.317,10","247.581.970,91","24.822.346,19","9,11"
2024-12,"277.303.144,40","332.225.805,34","-54.922.660,94","-19,81"
2025-01,"400.544.205,60","268.431.525,23","132.112.680,37","32,98"
2025-02,"222.220.181,20","222.401.515,33","-181.334,13","-0,08"
2025-03,"224.892.062,20","251.736.800,50","-26.844.738,30","-11,94"
2025-04,"232.489.175,00","237.660.204,08","-5.171.029,08","-2,22"
2025-05,"228.106.922,40","239.043.326,21","-10.936.403,81","-4,79"
2025-06,"233.714.902,70","250.242.769,90","-16.527.867,20","-7,07"
2025-07,"264.378.071,50","248.848.000,55","15.530.070,95","5,87"
2025-08,"259.541.284,20","258.138.857,97","1.402.426,23","0,54"
