Mês,Real,Previsto,Erro,Erro %
2024-09,"16.494.974,45","26.839.751,64","-10.344.777,19","-62,71"
2024-10,"20.108.895,48","27.281.710,90","-7.172.815,42","-35,67"
2024-11,"19.466.974,13","27.514.647,17","-8.047.673,04","-41,34"
2024-12,"14.349.781,53","27.556.796,73","-13.207.015,20","-92,04"
2025-01,"11.854.641,12","27.462.640,43","-15.607.999,31","-131,66"
2025-02,"11.883.548,54","27.427.678,83","-15.544.130,29","-130,80"
2025-03,"12.964.175,14","27.428.446,81","-14.464.271,67","-111,57"
2025-04,"17.157.658,40","27.463.939,40","-10.306.281,00","-60,07"
2025-05,"10.650.021,69","28.026.940,35","-17.376.918,66","-163,16"
2025-06,"11.354.720,74","28.123.593,01","-16.768.872,27","-147,68"
2025-07,"15.383.781,81","28.133.457,31","-12.749.675,50","-82,88"
2025-08,"17.900.277,95","28.135.964,37","-10.235.686,42","-57,18"
