Mês,Real,Previsto,Erro,Erro %
2024-09,"4.603.217.107,00","4.805.491.013,10","-202.273.906,10","-4,39"
2024-10,"4.623.710.096,00","4.820.764.154,84","-197.054.058,84","-4,26"
2024-11,"4.957.852.524,00","4.869.443.347,55","88.409.176,45","1,78"
2024-12,"5.373.587.482,00","4.881.386.351,16","492.201.130,84","9,16"
2025-01,"5.652.535.613,00","4.893.271.660,86","759.263.952,14","13,43"
2025-02,"5.687.448.085,00","4.906.760.089,13","780.687.995,87","13,73"
2025-03,"4.727.752.480,00","4.899.014.836,94","-171.262.356,94","-3,62"
2025-04,"4.871.807.433,00","4.864.046.824,82","7.760.608,18","0,16"
2025-05,"5.013.923.921,00","4.863.463.026,30","150.460.894,70","3,00"
2025-06,"5.184.270.047,00","4.863.090.159,61","321.179.887,39","6,20"
2025-07,"4.697.518.335,00","4.862.776.395,46","-165.258.060,46","-3,52"
2025-08,"5.489.204.913,00","4.868.663.316,30","620.541.596,70","11,30"
