Mês,Real,Previsto,Erro,Erro %
2024-09,"3.408.970.114,00","3.594.008.267,56","-185.038.153,56","-5,43"
2024-10,"3.185.942.107,00","3.603.824.133,02","-417.882.026,02","-13,12"
2024-11,"3.677.824.968,00","3.869.685.568,89","-191.860.600,89","-5,22"
2024-12,"3.485.189.924,00","4.117.596.697,49","-632.406.773,49","-18,15"
2025-01,"4.497.271.694,00","4.111.515.462,32","385.756.231,68","8,58"
2025-02,"4.052.693.225,00","4.103.380.667,71","-50.687.442,71","-1,25"
2025-03,"3.434.749.819,00","3.894.322.455,20","-459.572.636,20","-13,38"
2025-04,"3.495.964.812,00","3.892.667.414,20","-396.702.602,20","-11,35"
2025-05,"3.651.969.993,00","3.972.659.160,57","-320.689.167,57","-8,78"
2025-06,"3.856.176.505,00","3.957.405.238,13","-101.228.733,13","-2,63"
2025-07,"3.342.471.383,00","3.835.527.101,68","-493.055.718,68","-14,75"
2025-08,"3.978.227.720,00","3.984.494.332,69","-6.266.612,69","-0,16"
