Mês,Real,Previsto,Erro,Erro %
2024-09,"3.408.970.114,00","3.409.907.365,38","-937.251,38","-0,03"
2024-10,"3.185.942.107,00","3.421.904.459,26","-235.962.352,26","-7,41"
2024-11,"3.677.824.968,00","3.434.910.441,64","242.914.526,36","6,60"
2024-12,"3.485.189.924,00","3.437.216.125,49","47.973.798,51","1,38"
2025-01,"4.497.271.694,00","3.440.908.035,25","1.056.363.658,75","23,49"
2025-02,"4.052.693.225,00","3.441.167.707,74","611.525.517,26","15,09"
2025-03,"3.434.749.819,00","3.438.575.658,05","-3.825.839,05","-0,11"
2025-04,"3.495.964.812,00","3.423.485.269,77","72.479.542,23","2,07"
2025-05,"3.651.969.993,00","3.423.502.560,37","228.467.432,63","6,26"
2025-06,"3.856.176.505,00","3.422.523.891,25","433.652.613,75","11,25"
2025-07,"3.342.471.383,00","3.421.657.793,90","-79.186.410,90","-2,37"
2025-08,"3.978.227.720,00","3.423.061.388,77","555.166.331,23","13,96"
