Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"746.760.080,48","751.784.743,54","711.911.666,33"
2025-10,"752.264.647,23","745.637.027,80","710.264.070,63"
2025-11,"753.036.913,45","746.792.652,91","711.225.499,54"
2025-12,"763.576.307,97","759.060.212,26","712.138.082,84"
2026-01,"763.407.388,22","757.418.042,00","711.601.767,01"
2026-02,"713.515.434,61","717.375.233,19","711.249.922,34"
2026-03,"691.085.082,74","700.901.278,95","710.504.695,54"
2026-04,"739.580.766,21","731.765.148,45","710.377.159,92"
2026-05,"729.678.778,65","728.230.876,62","710.832.270,37"
2026-06,"770.345.966,71","758.723.365,11","711.644.664,12"
2026-07,"774.427.602,13","766.018.465,82","712.293.967,27"
2026-08,"771.406.837,70","773.901.842,25","712.849.590,20"
