Mês,Real,Previsto,Erro,Erro %
2024-09,"661.201.898,20","650.137.949,68","11.063.948,52","1,67"
2024-10,"656.797.931,90","651.260.111,98","5.537.819,92","0,84"
2024-11,"693.232.209,40","651.661.462,87","41.570.746,53","6,00"
2024-12,"754.433.392,20","651.374.579,80","103.058.812,40","13,66"
2025-01,"670.599.996,60","651.433.954,30","19.166.042,30","2,86"
2025-02,"619.884.641,00","651.795.347,41","-31.910.706,41","-5,15"
2025-03,"591.049.874,70","651.684.137,33","-60.634.262,63","-10,26"
2025-04,"660.874.189,80","652.737.800,56","8.136.389,24","1,23"
2025-05,"662.677.926,70","652.595.670,77","10.082.255,93","1,52"
2025-06,"734.897.772,90","652.750.471,16","82.147.301,74","11,18"
2025-07,"725.046.345,30","652.715.760,35","72.330.584,95","9,98"
2025-08,"773.297.361,30","652.840.635,65","120.456.725,65","15,58"
