Mês,Real,Previsto,Erro,Erro %
2024-09,"113.270.390,50","46.922.163,28","66.348.227,22","58,58"
2024-10,"71.310.563,16","35.319.802,73","35.990.760,43","50,47"
2024-11,"83.907.229,05","31.453.734,77","52.453.494,28","62,51"
2024-12,"109.964.004,50","31.027.488,22","78.936.516,28","71,78"
2025-01,"57.120.761,92","60.481.251,09","-3.360.489,17","-5,88"
2025-02,"87.784.782,54","63.088.911,67","24.695.870,87","28,13"
2025-03,"71.988.604,85","61.619.332,18","10.369.272,67","14,40"
2025-04,"38.997.927,54","61.162.097,49","-22.164.169,95","-56,83"
2025-05,"67.796.479,70","60.131.221,55","7.665.258,15","11,31"
2025-06,"61.942.744,62","52.103.778,81","9.838.965,81","15,88"
2025-07,"168.582.844,00","33.274.221,02","135.308.622,98","80,26"
2025-08,"91.018.273,95","30.834.654,84","60.183.619,11","66,12"
