Mês,Real,Previsto,Erro,Erro %
2024-09,"2.786.475,65","3.217.658,86","-431.183,21","-15,47"
2024-10,"3.200.498,88","3.100.635,64","99.863,24","3,12"
2024-11,"3.271.719,69","3.202.679,60","69.040,09","2,11"
2024-12,"3.237.283,62","3.113.697,52","123.586,10","3,82"
2025-01,"2.483.676,20","3.191.289,67","-707.613,47","-28,49"
2025-02,"2.239.282,74","3.123.629,50","-884.346,76","-39,49"
2025-03,"2.530.492,01","3.182.629,00","-652.136,99","-25,77"
2025-04,"2.621.454,20","3.131.181,58","-509.727,38","-19,44"
2025-05,"6.254.351,08","3.176.043,61","3.078.307,47","49,22"
2025-06,"2.098.423,21","3.136.924,03","-1.038.500,82","-49,49"
2025-07,"2.917.819,22","3.171.036,21","-253.216,99","-8,68"
2025-08,"6.109.003,91","3.141.290,48","2.967.713,43","48,58"
