Mês,Real,Previsto,Erro,Erro %
2024-09,"2.786.475,65","1.699.207,56","1.087.268,09","39,02"
2024-10,"3.200.498,88","1.696.551,23","1.503.947,65","46,99"
2024-11,"3.271.719,69","1.694.017,10","1.577.702,59","48,22"
2024-12,"3.237.283,62","1.694.886,41","1.542.397,21","47,64"
2025-01,"2.483.676,20","1.692.479,10","791.197,10","31,86"
2025-02,"2.239.282,74","1.691.307,73","547.975,01","24,47"
2025-03,"2.530.492,01","1.687.157,21","843.334,80","33,33"
2025-04,"2.621.454,20","1.683.260,33","938.193,87","35,79"
2025-05,"6.254.351,08","1.681.344,18","4.573.006,90","73,12"
2025-06,"2.098.423,21","1.678.911,51","419.511,70","19,99"
2025-07,"2.917.819,22","1.676.315,13","1.241.504,09","42,55"
2025-08,"6.109.003,91","1.671.403,68","4.437.600,23","72,64"
