Mês,Real,Previsto,Erro,Erro %
2024-09,"1.804.426.961,00","1.855.840.528,06","-51.413.567,06","-2,85"
2024-10,"1.760.063.091,00","1.869.280.593,27","-109.217.502,27","-6,21"
2024-11,"1.905.958.088,00","1.895.683.836,06","10.274.251,94","0,54"
2024-12,"2.361.768.454,00","1.933.778.900,15","427.989.553,85","18,12"
2025-01,"2.297.281.628,00","1.939.042.522,17","358.239.105,83","15,59"
2025-02,"2.240.636.480,00","1.946.043.526,12","294.592.953,88","13,15"
2025-03,"1.815.434.839,00","1.947.564.954,57","-132.130.115,57","-7,28"
2025-04,"1.898.681.528,00","1.940.976.193,58","-42.294.665,58","-2,23"
2025-05,"2.021.045.966,00","1.954.589.503,17","66.456.462,83","3,29"
2025-06,"2.140.340.163,00","1.971.168.776,13","169.171.386,87","7,90"
2025-07,"1.862.309.922,00","1.981.151.086,57","-118.841.164,57","-6,38"
2025-08,"1.999.908.525,00","1.975.404.913,91","24.503.611,09","1,23"
