Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.078.084.087,13","2.078.084.087,13","2.078.084.087,13"
2025-10,"2.078.964.264,98","2.078.964.264,98","2.078.964.264,98"
2025-11,"2.114.548.776,01","2.114.548.776,01","2.114.548.776,01"
2025-12,"2.147.492.294,58","2.147.492.294,58","2.147.492.294,58"
2026-01,"2.141.827.503,89","2.141.827.503,89","2.141.827.503,89"
2026-02,"2.131.654.993,69","2.131.654.993,69","2.131.654.993,69"
2026-03,"2.100.001.567,84","2.100.001.567,84","2.100.001.567,84"
2026-04,"2.114.041.537,10","2.114.041.537,10","2.114.041.537,10"
2026-05,"2.131.041.875,13","2.131.041.875,13","2.131.041.875,13"
2026-06,"2.136.756.360,41","2.136.756.360,41","2.136.756.360,41"
2026-07,"2.110.045.711,26","2.110.045.711,26","2.110.045.711,26"
2026-08,"2.129.766.992,37","2.129.766.992,37","2.129.766.992,37"
