Mês,Real,Previsto,Erro,Erro %
2024-09,"341.115.836,80","357.332.510,32","-16.216.673,52","-4,75"
2024-10,"365.395.176,90","381.999.110,83","-16.603.933,93","-4,54"
2024-11,"463.400.809,40","467.885.151,59","-4.484.342,19","-0,97"
2024-12,"520.826.282,80","503.488.033,43","17.338.249,37","3,33"
2025-01,"487.837.096,50","500.175.733,77","-12.338.637,27","-2,53"
2025-02,"650.738.550,10","640.855.791,85","9.882.758,25","1,52"
2025-03,"429.325.841,60","429.166.523,14","159.318,46","0,04"
2025-04,"436.789.877,60","457.010.540,38","-20.220.662,78","-4,63"
2025-05,"556.698.875,30","515.902.871,01","40.796.004,29","7,33"
2025-06,"569.952.187,50","521.936.820,56","48.015.366,94","8,42"
2025-07,"350.936.072,50","383.593.298,34","-32.657.225,84","-9,31"
2025-08,"462.086.534,80","460.976.491,52","1.110.043,28","0,24"
