Mês,Real,Previsto,Erro,Erro %
2024-09,"341.115.836,80","363.613.208,85","-22.497.372,05","-6,60"
2024-10,"365.395.176,90","390.258.988,47","-24.863.811,57","-6,80"
2024-11,"463.400.809,40","468.746.269,77","-5.345.460,37","-1,15"
2024-12,"520.826.282,80","495.802.847,28","25.023.435,52","4,80"
2025-01,"487.837.096,50","484.374.815,99","3.462.280,51","0,71"
2025-02,"650.738.550,10","601.836.693,68","48.901.856,42","7,51"
2025-03,"429.325.841,60","397.794.890,09","31.530.951,51","7,34"
2025-04,"436.789.877,60","428.285.217,03","8.504.660,57","1,95"
2025-05,"556.698.875,30","479.882.713,47","76.816.161,83","13,80"
2025-06,"569.952.187,50","464.023.263,21","105.928.924,29","18,59"
2025-07,"350.936.072,50","351.464.250,76","-528.178,26","-0,15"
2025-08,"462.086.534,80","420.787.790,81","41.298.743,99","8,94"
