Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"393.834.454,54","393.834.454,54","393.834.454,54"
2025-10,"402.489.881,19","402.489.881,19","402.489.881,19"
2025-11,"478.710.708,73","478.710.708,73","478.710.708,73"
2025-12,"578.047.254,27","578.047.254,27","578.047.254,27"
2026-01,"555.008.550,98","555.008.550,98","555.008.550,98"
2026-02,"593.690.569,52","593.690.569,52","593.690.569,52"
2026-03,"480.146.296,86","480.146.296,86","480.146.296,86"
2026-04,"486.946.441,04","486.946.441,04","486.946.441,04"
2026-05,"593.569.218,12","593.569.218,12","593.569.218,12"
2026-06,"584.999.535,83","584.999.535,83","584.999.535,83"
2026-07,"402.523.704,39","402.523.704,39","402.523.704,39"
2026-08,"470.914.245,20","470.914.245,20","470.914.245,20"
