Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"4.544.867.093,32","4.442.098.811,75","4.569.603.307,49"
2025-10,"4.544.901.733,00","4.430.175.355,16","4.571.153.789,99"
2025-11,"4.550.664.882,44","4.498.555.767,13","4.571.564.783,20"
2025-12,"4.835.067.814,55","4.510.637.822,49","4.571.855.271,02"
2026-01,"5.050.384.903,86","4.652.117.501,91","4.572.474.290,33"
2026-02,"4.373.749.935,61","4.312.229.137,71","4.573.068.520,54"
2026-03,"4.583.770.383,11","4.354.627.412,98","4.573.119.211,72"
2026-04,"4.612.255.177,10","4.396.749.113,89","4.573.066.395,76"
2026-05,"4.687.775.164,37","4.137.965.807,24","4.572.674.019,67"
2026-06,"4.641.385.811,31","4.482.356.866,24","4.572.561.102,78"
2026-07,"4.693.240.563,65","4.430.364.842,89","4.572.549.365,90"
2026-08,"4.760.765.037,88","4.462.058.286,56","4.572.484.813,05"
