Mês,Real,Previsto,Erro,Erro %
2024-09,"4.479.553.600,00","4.008.813.792,18","470.739.807,82","10,51"
2024-10,"4.447.547.965,00","4.007.233.239,02","440.314.725,98","9,90"
2024-11,"4.631.098.640,00","4.006.445.913,77","624.652.726,23","13,49"
2024-12,"4.663.529.995,00","4.004.814.052,80","658.715.942,20","14,12"
2025-01,"5.043.297.971,00","4.002.766.099,06","1.040.531.871,94","20,63"
2025-02,"4.130.949.875,00","3.997.519.806,78","133.430.068,22","3,23"
2025-03,"4.244.757.789,00","3.990.106.417,65","254.651.371,35","6,00"
2025-04,"4.357.823.306,00","3.988.390.193,91","369.433.112,09","8,48"
2025-05,"3.663.182.118,00","3.989.234.366,40","-326.052.248,40","-8,90"
2025-06,"4.587.616.609,00","3.990.064.009,24","597.552.599,76","13,03"
2025-07,"4.448.056.599,00","3.990.006.435,52","458.050.163,48","10,30"
2025-08,"4.533.129.982,00","3.990.842.889,13","542.287.092,87","11,96"
