Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"235.969.654,55","191.369.113,50","146.171.977,44"
2025-10,"276.756.292,68","260.631.126,11","176.347.275,67"
2025-11,"238.833.970,94","206.201.097,11","180.364.888,35"
2025-12,"260.312.970,19","218.890.279,98","380.246.770,78"
2026-01,"2.613.195.821,28","2.698.478.493,50","2.378.024.467,30"
2026-02,"889.597.384,26","892.782.471,08","1.163.436.931,79"
2026-03,"866.794.533,25","877.702.308,75","994.167.045,47"
2026-04,"800.982.365,08","811.812.317,19","763.735.923,67"
2026-05,"753.524.577,41","764.783.988,83","497.906.024,29"
2026-06,"361.492.582,42","351.530.934,81","178.752.550,21"
2026-07,"322.733.873,88","306.542.890,71","148.423.028,34"
2026-08,"322.726.380,67","273.843.829,59","135.273.926,38"
