Mês,Real,Previsto,Erro,Erro %
2024-09,"138.951.811,40","138.127.171,67","824.639,73","0,59"
2024-10,"218.710.229,30","141.021.853,74","77.688.375,56","35,52"
2024-11,"152.647.510,20","153.888.257,05","-1.240.746,85","-0,81"
2024-12,"161.224.453,10","236.246.074,50","-75.021.621,40","-46,53"
2025-01,"2.674.174.988,00","2.081.604.132,18","592.570.855,82","22,16"
2025-02,"846.919.387,00","683.956.563,93","162.962.823,07","19,24"
2025-03,"838.805.570,90","296.664.005,83","542.141.565,07","64,63"
2025-04,"760.600.867,50","198.066.892,26","562.533.975,24","73,96"
2025-05,"717.742.392,70","149.044.742,48","568.697.650,22","79,23"
2025-06,"299.183.003,10","127.524.059,29","171.658.943,81","57,38"
2025-07,"249.150.590,40","126.135.238,72","123.015.351,68","49,37"
2025-08,"219.933.155,60","119.773.566,23","100.159.589,37","45,54"
