Mês,Real,Previsto,Erro,Erro %
2024-09,"7.506.737.040,00","8.203.760.097,28","-697.023.057,28","-9,29"
2024-10,"7.423.657.187,00","8.235.267.854,89","-811.610.667,89","-10,93"
2024-11,"7.905.549.249,00","8.269.490.176,19","-363.940.927,19","-4,60"
2024-12,"9.384.736.817,00","8.287.092.851,95","1.097.643.965,05","11,70"
2025-01,"11.121.877.360,00","8.280.553.819,11","2.841.323.540,89","25,55"
2025-02,"8.442.991.099,00","8.222.814.250,14","220.176.848,86","2,61"
2025-03,"8.261.327.134,00","8.239.115.999,33","22.211.134,67","0,27"
2025-04,"8.333.064.837,00","8.247.170.250,43","85.894.586,57","1,03"
2025-05,"7.871.263.059,00","8.233.202.236,84","-361.939.177,84","-4,60"
2025-06,"8.370.662.208,00","8.234.916.165,61","135.746.042,39","1,62"
2025-07,"7.855.979.218,00","8.245.249.719,39","-389.270.501,39","-4,96"
2025-08,"8.583.694.092,00","8.253.838.991,47","329.855.100,53","3,84"
