Mês,Real,Previsto,Erro,Erro %
2024-09,"5.262.837.285,00","5.266.976.923,97","-4.139.638,97","-0,08"
2024-10,"5.186.938.571,00","5.241.684.443,16","-54.745.872,16","-1,06"
2024-11,"5.571.681.164,00","5.353.945.916,63","217.735.247,37","3,91"
2024-12,"6.722.633.494,00","5.369.338.581,78","1.353.294.912,22","20,13"
2025-01,"7.097.148.662,00","5.333.192.716,05","1.763.955.945,95","24,85"
2025-02,"5.813.816.888,00","5.253.713.542,26","560.103.345,74","9,63"
2025-03,"5.535.026.332,00","5.258.819.113,69","276.207.218,31","4,99"
2025-04,"5.708.828.198,00","5.305.240.917,25","403.587.280,75","7,07"
2025-05,"5.452.736.947,00","5.286.411.199,86","166.325.747,14","3,05"
2025-06,"5.906.613.137,00","5.288.496.508,33","618.116.628,67","10,46"
2025-07,"5.517.341.227,00","5.301.811.907,63","215.529.319,37","3,91"
2025-08,"6.074.791.439,00","5.316.191.137,90","758.600.301,10","12,49"
