Mês,Real,Previsto,Erro,Erro %
2024-09,"219.823.466,00","248.153.038,56","-28.329.572,56","-12,89"
2024-10,"230.136.509,90","261.643.094,38","-31.506.584,48","-13,69"
2024-11,"304.963.253,70","309.236.319,86","-4.273.066,16","-1,40"
2024-12,"340.694.575,80","333.073.055,46","7.621.520,34","2,24"
2025-01,"270.803.247,20","316.356.769,36","-45.553.522,16","-16,82"
2025-02,"379.348.148,60","387.753.778,91","-8.405.630,31","-2,22"
2025-03,"246.592.744,90","267.016.884,96","-20.424.140,06","-8,28"
2025-04,"248.436.097,10","364.645.301,85","-116.209.204,75","-46,78"
2025-05,"318.923.936,60","311.872.845,33","7.051.091,27","2,21"
2025-06,"335.200.912,20","308.770.527,19","26.430.385,01","7,88"
2025-07,"201.399.572,50","258.419.449,13","-57.019.876,63","-28,31"
2025-08,"269.501.622,10","295.013.438,34","-25.511.816,24","-9,47"
