Mês,Real,Previsto,Erro,Erro %
2024-09,"219.823.466,00","261.571.952,33","-41.748.486,33","-18,99"
2024-10,"230.136.509,90","272.916.217,70","-42.779.707,80","-18,59"
2024-11,"304.963.253,70","282.397.669,29","22.565.584,41","7,40"
2024-12,"340.694.575,80","281.145.228,57","59.549.347,23","17,48"
2025-01,"270.803.247,20","276.836.526,05","-6.033.278,85","-2,23"
2025-02,"379.348.148,60","273.360.980,90","105.987.167,70","27,94"
2025-03,"246.592.744,90","263.848.820,27","-17.256.075,37","-7,00"
2025-04,"248.436.097,10","283.344.071,89","-34.907.974,79","-14,05"
2025-05,"318.923.936,60","268.787.179,07","50.136.757,53","15,72"
2025-06,"335.200.912,20","261.131.658,32","74.069.253,88","22,10"
2025-07,"201.399.572,50","250.215.210,47","-48.815.637,97","-24,24"
2025-08,"269.501.622,10","268.904.519,55","597.102,55","0,22"
