Mês,Real,Previsto,Erro,Erro %
2024-09,"4.712.939.970,00","4.468.959.723,61","243.980.246,39","5,18"
2024-10,"4.760.204.964,00","4.467.775.874,17","292.429.089,83","6,14"
2024-11,"5.124.888.180,00","4.463.998.387,28","660.889.792,72","12,90"
2024-12,"5.175.291.040,00","4.460.227.353,45","715.063.686,55","13,82"
2025-01,"5.509.956.845,00","4.460.477.307,17","1.049.479.537,83","19,05"
2025-02,"4.774.573.226,00","4.466.159.180,03","308.414.045,97","6,46"
2025-03,"4.956.687.413,00","4.465.713.510,91","490.973.902,09","9,91"
2025-04,"5.767.810.652,00","4.464.767.852,66","1.303.042.799,34","22,59"
2025-05,"5.012.354.342,00","4.462.639.978,65","549.714.363,35","10,97"
2025-06,"5.173.860.958,00","4.460.038.581,21","713.822.376,79","13,80"
2025-07,"4.983.940.328,00","4.458.197.827,25","525.742.500,75","10,55"
2025-08,"4.839.785.734,00","4.459.972.580,36","379.813.153,64","7,85"
