Mês,Real,Previsto,Erro,Erro %
2024-09,"171.309.329,70","160.782.955,72","10.526.373,98","6,14"
2024-10,"172.797.059,30","146.653.036,25","26.144.023,05","15,13"
2024-11,"155.289.740,30","138.983.825,92","16.305.914,38","10,50"
2024-12,"170.495.747,30","156.792.789,85","13.702.957,45","8,04"
2025-01,"1.655.805.069,00","1.675.116.871,50","-19.311.802,50","-1,17"
2025-02,"920.521.284,30","1.014.759.193,95","-94.237.909,65","-10,24"
2025-03,"736.823.669,00","622.900.587,33","113.923.081,67","15,46"
2025-04,"564.389.967,80","597.127.837,66","-32.737.869,86","-5,80"
2025-05,"289.017.501,50","298.592.546,39","-9.575.044,89","-3,31"
2025-06,"229.542.326,00","243.777.472,96","-14.235.146,96","-6,20"
2025-07,"243.852.552,20","261.741.949,96","-17.889.397,76","-7,34"
2025-08,"193.585.269,60","202.382.851,41","-8.797.581,81","-4,54"
