Mês,Real,Previsto,Erro,Erro %
2024-09,"171.309.329,70","7.862.167,65","163.447.162,05","95,41"
2024-10,"172.797.059,30","-503.297,78","173.300.357,08","100,29"
2024-11,"155.289.740,30","229.946,18","155.059.794,12","99,85"
2024-12,"170.495.747,30","13.265.208,58","157.230.538,72","92,22"
2025-01,"1.655.805.069,00","1.329.668.877,33","326.136.191,67","19,70"
2025-02,"920.521.284,30","1.283.629.275,86","-363.107.991,56","-39,45"
2025-03,"736.823.669,00","840.867.764,50","-104.044.095,50","-14,12"
2025-04,"564.389.967,80","622.651.602,62","-58.261.634,82","-10,32"
2025-05,"289.017.501,50","226.009.166,97","63.008.334,53","21,80"
2025-06,"229.542.326,00","128.617.312,87","100.925.013,13","43,97"
2025-07,"243.852.552,20","36.325.280,60","207.527.271,60","85,10"
2025-08,"193.585.269,60","5.515.935,62","188.069.333,98","97,15"
