Mês,Real,Previsto,Erro,Erro %
2024-09,"527.212.842,50","592.058.661,77","-64.845.819,27","-12,30"
2024-10,"604.765.560,10","585.936.106,04","18.829.454,06","3,11"
2024-11,"644.501.075,70","665.379.771,15","-20.878.695,45","-3,24"
2024-12,"1.049.566.698,00","1.076.783.877,87","-27.217.179,87","-2,59"
2025-01,"723.219.497,00","523.851.799,68","199.367.697,32","27,57"
2025-02,"543.718.103,30","566.053.863,61","-22.335.760,31","-4,11"
2025-03,"636.754.300,80","660.044.684,83","-23.290.384,03","-3,66"
2025-04,"493.823.508,20","740.098.439,34","-246.274.931,14","-49,87"
2025-05,"647.324.821,10","671.687.687,37","-24.362.866,27","-3,76"
2025-06,"625.960.603,20","652.398.306,52","-26.437.703,32","-4,22"
2025-07,"705.702.861,30","811.680.723,47","-105.977.862,17","-15,02"
2025-08,"587.408.323,90","731.488.333,25","-144.080.009,35","-24,53"
