Mês,Real,Previsto,Erro,Erro %
2024-09,"527.212.842,50","595.448.620,61","-68.235.778,11","-12,94"
2024-10,"604.765.560,10","595.859.681,17","8.905.878,93","1,47"
2024-11,"644.501.075,70","595.555.505,02","48.945.570,68","7,59"
2024-12,"1.049.566.698,00","595.466.337,89","454.100.360,11","43,27"
2025-01,"723.219.497,00","592.798.971,98","130.420.525,02","18,03"
2025-02,"543.718.103,30","593.737.151,13","-50.019.047,83","-9,20"
2025-03,"636.754.300,80","594.451.531,51","42.302.769,29","6,64"
2025-04,"493.823.508,20","594.270.057,36","-100.446.549,16","-20,34"
2025-05,"647.324.821,10","594.363.250,25","52.961.570,85","8,18"
2025-06,"625.960.603,20","594.167.188,87","31.793.414,33","5,08"
2025-07,"705.702.861,30","594.092.402,26","111.610.459,04","15,82"
2025-08,"587.408.323,90","593.948.606,86","-6.540.282,96","-1,11"
