Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"143.531.924,03","147.104.106,89","137.635.488,87"
2025-10,"145.887.174,17","151.797.172,66","137.391.360,66"
2025-11,"137.515.082,10","143.174.098,98","137.284.612,08"
2025-12,"230.389.059,11","204.821.926,69","137.642.619,86"
2026-01,"126.558.107,68","123.313.383,90","136.696.184,88"
2026-02,"126.066.091,54","127.843.443,63","137.142.062,73"
2026-03,"155.231.193,37","141.575.666,62","136.988.479,95"
2026-04,"126.540.889,22","135.781.086,25","137.375.207,81"
2026-05,"133.403.440,69","143.132.052,12","138.003.604,75"
2026-06,"128.839.281,07","135.056.822,49","137.781.870,25"
2026-07,"195.969.497,59","168.122.038,88","137.718.169,10"
2026-08,"152.915.903,78","149.678.308,79","137.640.638,47"
