Mês,Real,Previsto,Erro,Erro %
2024-09,"169.196.487,10","127.448.354,66","41.748.132,44","24,67"
2024-10,"164.136.075,50","127.086.655,67","37.049.419,83","22,57"
2024-11,"136.645.616,20","126.820.103,57","9.825.512,63","7,19"
2024-12,"219.559.503,80","126.879.464,77","92.680.039,03","42,21"
2025-01,"101.858.441,30","126.291.414,74","-24.432.973,44","-23,99"
2025-02,"125.339.491,00","126.666.148,66","-1.326.657,66","-1,06"
2025-03,"111.511.784,10","127.312.453,52","-15.800.669,42","-14,17"
2025-04,"115.190.536,30","127.574.208,05","-12.383.671,75","-10,75"
2025-05,"160.978.470,90","127.367.409,40","33.611.061,50","20,88"
2025-06,"144.851.868,20","127.089.974,75","17.761.893,45","12,26"
2025-07,"143.081.309,70","127.363.708,13","15.717.601,57","10,99"
2025-08,"139.307.058,20","127.188.973,78","12.118.084,42","8,70"
