Mês,Real,Previsto,Erro,Erro %
2024-09,"9.320.365.235,00","9.386.361.818,19","-65.996.583,19","-0,71"
2024-10,"12.617.856.350,00","9.093.816.211,32","3.524.040.138,68","27,93"
2024-11,"12.514.999.900,00","12.611.589.677,16","-96.589.777,16","-0,77"
2024-12,"10.581.993.780,00","10.839.181.597,90","-257.187.817,90","-2,43"
2025-01,"11.865.823.440,00","10.510.901.302,13","1.354.922.137,87","11,42"
2025-02,"15.049.941.860,00","12.517.927.446,39","2.532.014.413,61","16,82"
2025-03,"10.217.421.030,00","9.862.635.103,92","354.785.926,08","3,47"
2025-04,"10.520.622.230,00","9.670.434.583,68","850.187.646,32","8,08"
2025-05,"13.391.739.090,00","12.186.190.466,69","1.205.548.623,31","9,00"
2025-06,"10.701.436.140,00","9.383.757.654,14","1.317.678.485,86","12,31"
2025-07,"9.432.354.112,00","9.694.204.931,20","-261.850.819,20","-2,78"
2025-08,"12.024.652.700,00","14.203.549.147,41","-2.178.896.447,41","-18,12"
