Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"7.477.045.599,99","7.788.936.336,43","8.881.433.145,54"
2025-10,"7.807.585.712,73","7.626.115.566,28","9.352.327.092,71"
2025-11,"10.807.283.565,41","9.522.057.810,22","9.493.006.301,04"
2025-12,"8.403.668.336,26","8.291.942.368,51","9.217.783.952,36"
2026-01,"8.178.419.481,47","7.979.429.643,03","9.484.543.734,16"
2026-02,"10.924.539.385,86","9.655.981.061,54","9.688.728.988,28"
2026-03,"7.831.089.742,11","7.958.431.143,16","9.104.695.092,07"
2026-04,"7.614.467.849,85","7.728.246.687,61","9.438.969.012,38"
2026-05,"10.632.143.757,48","9.517.897.746,09","9.771.551.172,74"
2026-06,"7.546.458.103,63","7.769.581.360,90","9.333.813.460,20"
2026-07,"7.391.108.081,18","7.590.437.221,30","9.437.744.327,42"
2026-08,"11.549.794.508,09","9.685.011.885,79","9.837.629.614,28"
