Mês,Real,Previsto,Erro,Erro %
2024-09,"6.667.459.042,00","6.816.570.749,34","-149.111.707,34","-2,24"
2024-10,"8.402.628.823,00","7.166.384.369,51","1.236.244.453,49","14,71"
2024-11,"9.877.449.970,00","10.913.291.799,26","-1.035.841.829,26","-10,49"
2024-12,"7.522.996.240,00","9.673.551.141,23","-2.150.554.901,23","-28,59"
2025-01,"8.026.404.144,00","8.364.443.113,35","-338.038.969,35","-4,21"
2025-02,"11.463.266.820,00","10.702.340.898,68","760.925.921,32","6,64"
2025-03,"7.126.040.492,00","6.923.409.185,43","202.631.306,57","2,84"
2025-04,"7.207.540.736,00","7.524.360.216,65","-316.819.480,65","-4,40"
2025-05,"10.507.506.210,00","10.708.185.657,59","-200.679.447,59","-1,91"
2025-06,"7.552.810.038,00","6.755.163.109,25","797.646.928,75","10,56"
2025-07,"6.765.565.304,00","6.701.579.168,71","63.986.135,29","0,95"
2025-08,"9.406.934.755,00","10.828.665.511,22","-1.421.730.756,22","-15,11"
