Mês,Real,Previsto,Erro,Erro %
2024-09,"487.692.664,00","436.789.411,63","50.903.252,37","10,44"
2024-10,"523.305.656,60","436.115.172,78","87.190.483,82","16,66"
2024-11,"661.452.937,80","455.515.092,69","205.937.845,11","31,13"
2024-12,"743.769.410,10","543.432.926,53","200.336.483,57","26,94"
2025-01,"705.017.098,70","729.076.061,08","-24.058.962,38","-3,41"
2025-02,"937.670.726,30","731.933.094,05","205.737.632,25","21,94"
2025-03,"619.192.890,10","690.762.570,60","-71.569.680,50","-11,56"
2025-04,"630.331.485,60","697.693.895,35","-67.362.409,75","-10,69"
2025-05,"803.022.604,80","725.230.750,66","77.791.854,14","9,69"
2025-06,"820.812.385,70","726.602.114,17","94.210.271,53","11,48"
2025-07,"506.161.395,30","496.806.952,04","9.354.443,26","1,85"
2025-08,"665.816.190,00","699.318.275,46","-33.502.085,46","-5,03"
