Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"59.284.285,37","59.284.285,37","59.284.285,37"
2025-10,"52.710.693,55","52.710.693,55","52.710.693,55"
2025-11,"46.259.155,53","46.259.155,53","46.259.155,53"
2025-12,"38.456.939,14","38.456.939,14","38.456.939,14"
2026-01,"32.660.990,46","32.660.990,46","32.660.990,46"
2026-02,"32.256.263,31","32.256.263,31","32.256.263,31"
2026-03,"40.292.405,78","40.292.405,78","40.292.405,78"
2026-04,"76.422.440,13","76.422.440,13","76.422.440,13"
2026-05,"83.598.876,24","83.598.876,24","83.598.876,24"
2026-06,"83.559.758,88","83.559.758,88","83.559.758,88"
2026-07,"82.034.765,57","82.034.765,57","82.034.765,57"
2026-08,"75.054.985,59","75.054.985,59","75.054.985,59"
