Mês,Real,Previsto,Erro,Erro %
2024-09,"56.785.717,45","73.619.354,53","-16.833.637,08","-29,64"
2024-10,"52.467.517,92","66.956.666,97","-14.489.149,05","-27,62"
2024-11,"41.679.749,40","55.851.633,36","-14.171.883,96","-34,00"
2024-12,"33.872.672,29","59.665.347,58","-25.792.675,29","-76,15"
2025-01,"34.962.198,65","65.871.927,91","-30.909.729,26","-88,41"
2025-02,"29.111.068,81","49.179.033,04","-20.067.964,23","-68,94"
2025-03,"48.892.214,02","60.338.774,78","-11.446.560,76","-23,41"
2025-04,"69.831.934,83","73.042.763,70","-3.210.828,87","-4,60"
2025-05,"83.103.159,32","74.560.353,79","8.542.805,53","10,28"
2025-06,"80.639.191,45","74.659.756,70","5.979.434,75","7,42"
2025-07,"69.081.402,75","74.621.883,36","-5.540.480,61","-8,02"
2025-08,"61.737.852,81","74.583.430,19","-12.845.577,38","-20,81"
