Mês,Real,Previsto,Erro,Erro %
2024-09,"3.081.354,06","1.802.710,18","1.278.643,88","41,50"
2024-10,"8.476.295,84","2.097.995,52","6.378.300,32","75,25"
2024-11,"2.013.761,58","2.327.689,41","-313.927,83","-15,59"
2024-12,"3.793.624,69","2.715.795,76","1.077.828,93","28,41"
2025-01,"2.641.887,93","2.513.181,08","128.706,85","4,87"
2025-02,"2.402.350,48","1.611.265,29","791.085,19","32,93"
2025-03,"2.103.877,15","2.456.521,38","-352.644,23","-16,76"
2025-04,"3.138.344,77","1.734.680,79","1.403.663,98","44,73"
2025-05,"3.231.794,87","2.185.463,03","1.046.331,84","32,38"
2025-06,"2.305.899,65","1.842.624,16","463.275,49","20,09"
2025-07,"2.936.408,70","7.714.728,64","-4.778.319,94","-162,73"
2025-08,"2.620.333,07","1.839.221,51","781.111,56","29,81"
