Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.106.709,32","2.415.630,33","724.379,59"
2025-10,"2.913.354,08","2.415.630,33","724.256,98"
2025-11,"2.446.035,38","2.415.630,33","724.956,73"
2025-12,"3.026.253,24","2.415.630,33","724.794,49"
2026-01,"2.663.523,15","2.415.630,33","724.922,06"
2026-02,"1.924.133,69","2.415.630,33","724.972,83"
2026-03,"2.646.822,86","2.415.630,33","725.033,52"
2026-04,"2.150.679,31","2.415.630,33","725.053,34"
2026-05,"2.574.909,12","2.415.630,33","725.173,47"
2026-06,"2.173.758,34","2.415.630,33","725.329,52"
2026-07,"6.909.656,07","2.415.630,33","725.390,21"
2026-08,"2.120.336,54","2.415.630,33","725.623,05"
