Mês,Real,Previsto,Erro,Erro %
2024-09,"1.799.498.584,00","1.863.870.560,08","-64.371.976,08","-3,58"
2024-10,"1.963.916.707,00","1.869.775.101,97","94.141.605,03","4,79"
2024-11,"2.070.929.691,00","1.996.679.260,59","74.250.430,41","3,59"
2024-12,"2.380.801.039,00","2.284.565.720,23","96.235.318,77","4,04"
2025-01,"2.106.052.868,00","1.947.607.196,55","158.445.671,45","7,52"
2025-02,"2.517.856.231,00","2.111.707.673,50","406.148.557,50","16,13"
2025-03,"1.857.640.830,00","1.971.433.873,44","-113.793.043,44","-6,13"
2025-04,"2.173.566.895,00","2.011.836.164,99","161.730.730,01","7,44"
2025-05,"2.211.735.848,00","2.116.114.338,09","95.621.509,91","4,32"
2025-06,"2.269.148.694,00","2.041.321.074,47","227.827.619,53","10,04"
2025-07,"1.958.234.389,00","2.049.648.307,68","-91.413.918,68","-4,67"
2025-08,"2.314.340.596,00","2.053.001.243,81","261.339.352,19","11,29"
