Mês,Real,Previsto,Erro,Erro %
2024-09,"1.799.498.584,00","1.992.405.336,71","-192.906.752,71","-10,72"
2024-10,"1.963.916.707,00","1.997.914.331,63","-33.997.624,63","-1,73"
2024-11,"2.070.929.691,00","2.001.217.540,15","69.712.150,85","3,37"
2024-12,"2.380.801.039,00","2.005.041.804,68","375.759.234,32","15,78"
2025-01,"2.106.052.868,00","1.995.826.147,57","110.226.720,43","5,23"
2025-02,"2.517.856.231,00","1.996.357.468,38","521.498.762,62","20,71"
2025-03,"1.857.640.830,00","1.991.032.458,34","-133.391.628,34","-7,18"
2025-04,"2.173.566.895,00","1.994.383.838,49","179.183.056,51","8,24"
2025-05,"2.211.735.848,00","1.997.000.972,56","214.734.875,44","9,71"
2025-06,"2.269.148.694,00","1.997.248.604,42","271.900.089,58","11,98"
2025-07,"1.958.234.389,00","1.994.995.740,61","-36.761.351,61","-1,88"
2025-08,"2.314.340.596,00","1.997.103.255,85","317.237.340,15","13,71"
