Mês,Real,Previsto,Erro,Erro %
2024-09,"1.293.674.235,00","1.361.749.153,52","-68.074.918,52","-5,26"
2024-10,"1.406.169.724,00","1.364.841.381,66","41.328.342,34","2,94"
2024-11,"1.522.316.362,00","1.459.722.082,39","62.594.279,61","4,11"
2024-12,"1.775.374.970,00","1.705.056.245,99","70.318.724,01","3,96"
2025-01,"1.567.006.840,00","1.445.103.384,81","121.903.455,19","7,78"
2025-02,"1.827.906.688,00","1.571.199.822,79","256.706.865,21","14,04"
2025-03,"1.342.075.355,00","1.425.546.048,15","-83.470.693,15","-6,22"
2025-04,"1.577.548.994,00","1.473.122.494,56","104.426.499,44","6,62"
2025-05,"1.599.106.975,00","1.565.496.158,30","33.610.816,70","2,10"
2025-06,"1.669.965.046,00","1.484.030.526,55","185.934.519,45","11,13"
2025-07,"1.384.058.341,00","1.514.284.927,45","-130.226.586,45","-9,41"
2025-08,"1.684.580.573,00","1.471.768.531,33","212.812.041,67","12,63"
