Mês,Real,Previsto,Erro,Erro %
2024-09,"604.047.257,90","536.047.950,36","67.999.307,54","11,26"
2024-10,"529.082.200,00","534.656.855,96","-5.574.655,96","-1,05"
2024-11,"636.612.582,50","534.199.121,34","102.413.461,16","16,09"
2024-12,"783.216.959,80","535.088.115,00","248.128.844,80","31,68"
2025-01,"626.433.546,30","535.336.888,81","91.096.657,49","14,54"
2025-02,"572.981.556,80","535.093.312,00","37.888.244,80","6,61"
2025-03,"586.335.536,10","534.719.334,94","51.616.201,16","8,80"
2025-04,"599.809.204,70","535.056.955,99","64.752.248,71","10,80"
2025-05,"719.613.136,00","534.995.143,88","184.617.992,12","25,66"
2025-06,"692.735.315,50","535.232.833,83","157.502.481,67","22,74"
2025-07,"784.376.492,40","535.562.138,15","248.814.354,25","31,72"
2025-08,"711.856.812,30","535.163.954,41","176.692.857,89","24,82"
