Mês,Real,Previsto,Erro,Erro %
2024-09,"42.317.442,50","43.564.070,14","-1.246.627,64","-2,95"
2024-10,"38.616.238,04","39.390.414,53","-774.176,49","-2,00"
2024-11,"22.389.682,72","30.356.738,91","-7.967.056,19","-35,58"
2024-12,"20.323.754,04","30.378.663,89","-10.054.909,85","-49,47"
2025-01,"68.470.277,25","65.214.520,30","3.255.756,95","4,75"
2025-02,"56.404.803,99","60.693.882,06","-4.289.078,07","-7,60"
2025-03,"62.260.946,11","66.564.580,89","-4.303.634,78","-6,91"
2025-04,"69.849.674,97","65.881.348,58","3.968.326,39","5,68"
2025-05,"64.621.697,47","67.733.194,14","-3.111.496,67","-4,81"
2025-06,"59.883.852,25","63.155.056,03","-3.271.203,78","-5,46"
2025-07,"74.399.551,49","68.537.779,16","5.861.772,33","7,88"
2025-08,"57.707.827,06","61.780.495,48","-4.072.668,42","-7,06"
