Mês,Real,Previsto,Erro,Erro %
2024-09,"42.317.442,50","63.628.720,39","-21.311.277,89","-50,36"
2024-10,"38.616.238,04","45.918.800,90","-7.302.562,86","-18,91"
2024-11,"22.389.682,72","27.416.949,95","-5.027.267,23","-22,45"
2024-12,"20.323.754,04","21.206.319,76","-882.565,72","-4,34"
2025-01,"68.470.277,25","63.888.418,19","4.581.859,06","6,69"
2025-02,"56.404.803,99","63.883.396,13","-7.478.592,14","-13,26"
2025-03,"62.260.946,11","63.914.456,63","-1.653.510,52","-2,66"
2025-04,"69.849.674,97","63.953.310,86","5.896.364,11","8,44"
2025-05,"64.621.697,47","64.123.685,90","498.011,57","0,77"
2025-06,"59.883.852,25","64.215.362,89","-4.331.510,64","-7,23"
2025-07,"74.399.551,49","64.172.086,28","10.227.465,21","13,75"
2025-08,"57.707.827,06","64.494.364,91","-6.786.537,85","-11,76"
