Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"80.361.835,77","76.896.887,23","71.747.993,76"
2025-10,"84.278.715,09","82.092.796,19","81.800.276,36"
2025-11,"90.551.751,82","88.513.794,41","114.578.041,10"
2025-12,"172.627.074,60","173.074.806,35","145.418.600,18"
2026-01,"72.660.375,88","71.017.612,14","74.630.935,81"
2026-02,"91.925.569,26","93.462.417,10","83.729.737,06"
2026-03,"96.246.803,63","92.907.366,72","89.856.744,56"
2026-04,"88.480.865,40","88.853.344,11","78.444.181,52"
2026-05,"94.484.481,41","92.524.368,60","87.505.840,37"
2026-06,"95.330.251,18","93.546.523,86","90.506.278,78"
2026-07,"99.116.240,18","96.354.941,85","91.395.773,37"
2026-08,"100.046.808,03","96.527.542,70","87.506.776,72"
