Mês,Real,Previsto,Erro,Erro %
2024-09,"61.251.431,18","69.711.829,04","-8.460.397,86","-13,81"
2024-10,"73.703.283,76","70.630.941,84","3.072.341,92","4,17"
2024-11,"82.022.802,75","71.532.991,95","10.489.810,80","12,79"
2024-12,"182.284.707,90","71.832.368,30","110.452.339,60","60,59"
2025-01,"62.837.559,87","67.524.528,73","-4.686.968,86","-7,46"
2025-02,"79.057.456,47","68.506.562,67","10.550.893,80","13,35"
2025-03,"90.290.867,72","68.295.409,96","21.995.457,76","24,36"
2025-04,"71.360.019,80","68.791.705,43","2.568.314,37","3,60"
2025-05,"81.153.663,49","68.797.534,91","12.356.128,58","15,23"
2025-06,"81.724.544,98","68.529.350,65","13.195.194,33","16,15"
2025-07,"85.252.988,17","68.633.785,45","16.619.202,72","19,49"
2025-08,"84.286.538,53","68.713.651,07","15.572.887,46","18,48"
