Mês,Real,Previsto,Erro,Erro %
2024-09,"2.106.697,52","3.671.065,53","-1.564.368,01","-74,26"
2024-10,"3.837.149,90","2.837.157,62","999.992,28","26,06"
2024-11,"3.619.368,36","3.283.624,46","335.743,90","9,28"
2024-12,"3.741.154,99","3.668.927,42","72.227,57","1,93"
2025-01,"4.377.246,36","2.840.607,20","1.536.639,16","35,11"
2025-02,"3.349.913,01","3.282.316,02","67.596,99","2,02"
2025-03,"2.831.267,56","3.666.797,12","-835.529,56","-29,51"
2025-04,"2.717.261,58","2.844.032,14","-126.770,56","-4,67"
2025-05,"2.456.239,23","3.281.024,35","-824.785,12","-33,58"
2025-06,"3.307.587,84","3.664.674,63","-357.086,79","-10,80"
2025-07,"2.996.630,21","2.847.432,60","149.197,61","4,98"
2025-08,"3.143.230,82","3.279.749,30","-136.518,48","-4,34"
