Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"3.236.138,36","3.121.657,76","2.861.593,87"
2025-10,"3.078.588,20","3.121.657,76","2.863.129,73"
2025-11,"3.099.954,36","3.121.657,76","2.861.978,78"
2025-12,"3.759.727,56","3.121.657,76","2.861.555,63"
2026-01,"2.733.230,82","3.121.657,76","2.861.231,52"
2026-02,"2.943.142,42","3.121.657,76","2.860.213,19"
2026-03,"3.425.531,08","3.121.657,76","2.859.280,26"
2026-04,"3.070.724,00","3.121.657,76","2.858.940,17"
2026-05,"3.230.422,26","3.121.657,76","2.858.904,06"
2026-06,"4.284.530,99","3.121.657,76","2.860.038,84"
2026-07,"3.345.472,12","3.121.657,76","2.859.506,79"
2026-08,"3.683.145,93","3.121.657,76","2.859.403,30"
