Mês,Real,Previsto,Erro,Erro %
2024-09,"2.106.697,52","2.657.293,76","-550.596,24","-26,14"
2024-10,"3.837.149,90","2.656.868,87","1.180.281,03","30,76"
2024-11,"3.619.368,36","2.655.917,82","963.450,54","26,62"
2024-12,"3.741.154,99","2.655.025,74","1.086.129,25","29,03"
2025-01,"4.377.246,36","2.654.878,11","1.722.368,25","39,35"
2025-02,"3.349.913,01","2.654.793,69","695.119,32","20,75"
2025-03,"2.831.267,56","2.654.467,93","176.799,63","6,24"
2025-04,"2.717.261,58","2.654.429,88","62.831,70","2,31"
2025-05,"2.456.239,23","2.654.657,58","-198.418,35","-8,08"
2025-06,"3.307.587,84","2.654.125,04","653.462,80","19,76"
2025-07,"2.996.630,21","2.654.097,44","342.532,77","11,43"
2025-08,"3.143.230,82","2.654.163,08","489.067,74","15,56"
